,title
494,Not able to create cluster pool with DBR Light 2.4 Extended
495,CSS-ARR-2205200050001067-Jobs are failing with error 'Caused by: com.databricks.NotebookExecutionException: FAILED'
496,Not able to create cluster pool with DBR Light 2.4 Extended
497,2205210030000125 
498, Connectivity problem using azure-event-hubs-spark
499,IAMポリシーに紐づけるs3バケットへのアクション権限について
500,Autoloader tasks keep getting stuck 
501,MS CSS
502,FOLLOWUP | ARR | 2203020060001019 | NoModuleFound Error
503,Error with Model Deployment which used to be able to be deployed
504,databrick環境構築にあたり、dbfsは必須機能となるか
505,Issues reading json column from csv
506,2205220030000028 
507,Error Message: 'JavaPackage' object is not callable
508,5491164172891362 - b8d79299-dbc4-42b6-b557-01b3a7cf0605 - 2205200040003030
509,AWS cloudwatch metrics
510,ARR- Pepsico- ModuleNotFoundError: No module named 'tabulate'- 2205130040007034
511,Delta table restore to version took 45 minutes
512,multi tenant HIPAA environments
513,Private Link Feature Request
514,Unexpected Unity Metastore in AWS Workspace
515,Airflow<>Databricks prod HTTP issue
516,JDBC Driver Documentation
517,Error in jobs: OutOfMemorySparkException 
518,Advana Databricks PVC v3.68 Upgrade Issues
519,Request Authentication Issue
520,Getting Random ExecutorLostFailure
521,SQL endpoint cluster has senstive config in plain text
522,Error while trying to modify table
523,Security  Compliance 
524,Job is failing due to Connection pool shut down
525,5244115429641560 - 77c41218-a808-4734-a49d-b82f9244bc93 - 2205200040005272
526,[ARR][IP Access List CIDR range Setup Suggestions]
527,Root cause for slow jobs
528,"ARR:Job failed on DBR10.4 LTS, java.io.FileNotFoundException: Operation failed: 'The specified path does not exist.', 404, HEAD:SR205200040003957 "
529,Facing issue in deployment of external ML Models on Databricks
530,Need Assistance with Terraform for AWS - Issue in managing VPC endpoints and multiple workspaces within the same VPC
531,2205200040003807 - SQL analytics query running for a long time. Can't be cancelled
532,Databbricks certification /training
533,ARR 2205200040003030 - Jobs running slow
534,Need to run DBInsight forjobs however it always fails
535,Customer stopped being able to access run of an experiment
536, load excel(xlsx) file into dataframe?
537,Conuming avro messages from kafka makes problem.
538,2205200030000589
539,Databricks:  When clicking on completed jobs get HTTP ERROR 403
540,Follow up of 00122446. (Streaming delta table with changeDataFeed enabled breaks when zero rows are merged)
541,Unable to see the SQL persona in Databricks instances
542,Streaming delta table with changeDataFeed enabled breaks when zero rows are merged
543,Job cluster creation is failing due to being unable to fetch secrets
544,Delta Lake Change Feed Data error on job restart
545, Delta Lake Change Feed Data error on job restart
546,Follow up of - 00146348
547,ARR | Mysql Lock problem | 2205200030001217 
548,"GC driver - OOM error, same code with same data volume worked fine previously"
549,2205100050002215
550,job cluster were idle for couple of hours
551,2205190050002332 Token quota exceeded (600 tokens)
552,2 schema on top of each other
553,We are noticing Secure groups provisioned through SCIM are missing on databricks side although no change happened on SCIM side
554,2205130040002413
555,2205130040002413
556,Event Hub To Databricks - 20min connectivity unexplainable throughput drop - RCA assistance requested
557,[ARR] [Sev C] SR-2205190030001704 Getting error on doing dbutils.fs.ls('dbfs:/mnt/uad/gokul/') 
558,GAR for 6036272996126062
559,2205110030001121
560,[ARR] [Sev B] SR-2205110030001940 continue to #00146312 Notebook is reverted back previous version automatically
561,CSS-ARR-SR#2205200030000589- Databricks jobs are slow
562,Failed to access cloud storage: AbfsRestOperationException
563,Are GCM cipher suites enabled by default now?_Azure China_2205190010000432
564,CSS-ARR-2205170040002305-Unable to install library sets
565,Inquiry on Azure Databricks notice tracking id MTM3-BT8
566,Azure Databricks autorun fails
567,job failure due to broadcast error
568,Cluster Terminating
569,Understanding the impact of a health advisory
570,Job is failing with regex expression error
571,Follow up for 00148100 ARR ServA
572,The spark driver has stopped unexpectedly and seems like a memory issue
573,Executing code in Databricks interactive cluster is very slow.
574,"The library named of msodbcsql17 is installed however pyodbc failed with error '('01000', '[01000] [unixODBC] Can't open  'ODBC Driver''"
575,Workspace unavailable
576,ARR- ATT - 2205190040007411 - job is running more than 18 hours
577,Need to enable secret access in Databricks from Databricks-connect
578,Failed to connect Azure SQL Server using ActiveDirectoryIntegrated in Databricks
579,SQL query runs fine on DBR 7.3 LTS but exact same query is broken on DBR 10.4 LTS
580,Libraries error after restart cluter
581,Cannot Launch Workspace 
582,Unable to change network config despite shutting down all EC2s
583,Failed to connect Azure SQL Server using ActiveDirectoryIntegrated in Databricks
584,Deserializing JSON to a class produces strange stdout outputs.
585,Add GHE connectivity to Prod Workspace
586,Jobs of migration are stopped with out rason
587,Need deeper understanding of Delta Live Tables
588,http issues
589,HTML Injection Finding
590,MLFlow model version pending to be deployed forever
591,Databricks SQL does not open SQLEditor - Internal Server Error
592,Terraform pipeline fails while creating cluster
593,"Databricks SQL page with errors, not able to load saved queries nor the UI."
594,Feature store doesn't allow nullable fields
595,Create Query in Databricks SQL is not working
596,Feature Store API in Docker
597,Intermittent Load Issues - Databricks Portal
598,SQL Analytics unable to run query
599,Origin of Elastic IP in account
600,Unable to grant access to database
601,Usage Logs not available
602,Download SQL Analytics dashboard via API
603,Cluster failure due to bootstrap failure - dbc-1891663a-774f
604,Problem with Metastore in Account console
605,Having problem creating or deleting views
606,Azure Databricks Connectivity Issue with Reporting Tools (Power BI and Tableau).
607,secret scope has INVALID_STATE: Databricks could not access keyvault:
