text,x,y
Sev A - ARR - Facing issue Running jobs using databricks sql connector,8.39266,0.454928
SQL Data slow loading,7.90064,0.0028987792
UI access not working,10.643437,-0.86790204
RND - Production jobs failed with network connectivity issue,11.184457,-0.42206016
ARR Customer Starbucks: Issue - Intermittent issues during auto scaling.,12.074826,1.1259772
Update IP address whitelist for finra-prod shard,9.206502,4.506853
Databricks Operational Outage,11.981036,3.253688
ARR Customer Chicago Trading Company: Issue - Databricks Clusters are Inaccessible,12.486797,1.5039468
[ARR][Public Analytics][2205250030002283 ]Notebooks/Folders under FIONA/RBS need to restore and audit report ,10.364239,-1.6973168
ARR Customer Chicago Trading Company: Issue - Unable to Access Clusters. ,12.633229,0.99506444
"ARR:IDENTITY Column Not Unique,seeing duplicate values in the IDENTITY column:SR2205250040005673 ",7.727744,0.95268756
spark commands get stuck,10.185035,-0.7830721
Reverse CredentialsProvider setting,9.472828,4.1772733
Billing Details,6.461197,5.1444626
Problema de conectividade DATABRICKS via firewall- Saved,10.135976,2.8675618
MLFlow Infinite Recursion Error when unselecting metrics,10.612985,1.5420485
bad configuration in terraform,11.422963,4.125333
[ARR][Public Analytics][2205250030002283 ] Missing Notebooks/Folders under FIONA/RBS in DEV ADB03,10.4152565,-1.7715074
Provide Nexus credentials to clusters,13.625798,1.5190768
Repo Error,7.092945,3.758113
"Notebook commands not getting executed, showing as Uploding Command on UI, UI bug",10.734,-1.3930688
permissions changed on cluster,13.467788,1.634479
Libraries are not installing,8.951673,-1.1073289
Hive Metastore Integration,12.883125,5.4288564
Invalid Bucket Error,8.826259,2.743862
Best practice for images in delta lake,6.6996613,1.6436332
Databricks views are being recreated with all column names in lowercase.,10.645096,2.3876438
ARR 2205180010001040 - Customer's workspace is slow,12.220925,-0.94306284
S500 | Highly escalated| job performance degredation ,12.297154,-1.0071785
ARR | Databricks job deleted automatically | 2205250030001931 ,12.193348,2.6768749
CRITICAL Findings - CVE-2022-22824 - expat,10.373911,1.9430075
0.4 LTS Runtime Issue,10.775894,1.4341892
odbc error in power BI conencting to DBX,8.213133,-0.45273462
[ARR]  calling the global init script of a Databricks cluster from automated azure devops pipeline issue,9.2918,3.4945543
workspace access | 2205170050002219,11.2483225,5.1782303
Enable prometheus metrics,7.026595,2.654287
configuring delta cache for cluster,6.5496197,1.1989884
FileNotFoundError in spark execution,9.967486,-0.17721754
gar-for-2205170050002951 ,1.8233776,5.500045
 SSH Databricks cluster connection error Power BI,9.401095,3.347856
Connection between databricks workspace and datalake,10.956504,4.489135
CSS-ARR-S500-SR#2205200040003401-Unable to Launch Cluster,12.797413,1.2820985
Spark image processing very slow,10.240231,0.14260264
worker is lost during jobs execution,12.81447,2.7533708
unable access to experiment in mlflow,11.46144,1.8026199
Data loss with applyInPandas,8.830778,0.6534325
Terraform error for mounting a bucket,11.328959,3.9909534
SQL joins gives wrong result,7.886011,0.49983817
Failed Databricks notebooks,12.01245,3.2204418
How to avoid WARNING: skipped 44535 bytes of output in job output,11.647097,-0.9758723
2205230030001614,-1.4918963,2.401798
Best practices for deploying mlflow model to Azure Container Instance,8.322499,3.9076202
Error when trying to read from s3,8.943411,2.8265018
Spark streaming job continues in background while status is failed,10.055687,-0.37799314
UnityCatalogマネージドテーブルアクセス用IAMポリシーに付与する権限について,3.5878434,2.0947244
Enable Unity Catalog,11.62709,6.25716
2205240030000450 | ARR | Error creating cluster,12.878397,0.93254274
Add Comment to Column Create Table AS,7.374703,0.8333056
Disable Schedule of Dashboard via API,10.907118,3.6060095
Cluster terminated.Reason:Self Bootstrap Failure,14.631532,-0.15622216
ARR | Production issue : Unable to read delta tables | GEP | 2205250030000679 ,7.0366697,1.6690444
Databricks execution taking a lot of time,12.238519,2.929508
Confluent Databricks sink connector,10.431102,2.9039183
Cluster terminated.Reason:Self Bootstrap Failure,14.634193,-0.13576415
Performance issue on the notebooks execution. ,10.506933,-2.2515168
2205190030002256 ,-1.2958202,2.5244517
CSS-ARR-2205250030000526-could not able to see cluster list in compute service,12.678842,1.4552162
ARR | Shell | 2204220060001123 | Follow up ticket 00143284 | INIT scripts are not downloading the jar with dependencies | ,9.174109,-0.45634237
Error reading streaming state file of HDFSStateStoreProvider,9.249163,2.302746
"[ARR] [Sev C] 2205180030001625-Sometimes, we are facing an SSL connect issue when importing the data to PowerBI from Azure SQL Endpoint of ADB",8.749367,3.4377363
runtime 10.4 duplicates columns where 9.1 does not ,7.5668764,0.9313016
外部テーブル作成時に必要なIAMポリシーについて,3.6369934,2.0916088
0220,4.641961,3.499119
Cluster launch fails with Failure message Cloud Provider Failure Azure VM Extension stuck on transitioning state,8.044144,4.727724
Jobs API downtime ?,11.510882,-0.55665743
HdfsBridge::recordReaderFillBuffer ,8.770881,3.8245106
Need to check why the model training for so long and there has a good run for this.,10.940011,1.2609195
cannot retrieve driver log,11.927904,0.5637881
Progress of Feature request ,10.149397,2.9706542
Geni access request,7.235436,5.694472
{CSAT Impacting}Cannot Add Scope for Key Vault in the Databricks side,9.941055,3.1191578
Spark version change issue,10.059485,-0.50961995
"SQL Parse exception on SQL analytics, succeeds on Athena",8.010165,0.47080204
scheduled job did not get cluster assigned.,13.250077,-0.5935807
some inconsistent stats in the few feature 'Data Profile',9.55498,1.036643
Enable Unity catalog,11.623438,6.250001
Job aborted due to stage failure,12.038997,-1.7385849
Databricks related queries,11.63341,3.4773705
[ARR][Latency issue in Databricks workspace],11.10238,3.6032274
Issue with certian DBR versions connecting to Glue catalog,9.767094,2.2461367
ARR- ATT- Clusters with GPU won't start- 2205200040006767,12.929728,1.18729
[ARR] [Sev X] SR- 2205240040005038 Operation on target Ingest to Delta Table failed,7.173571,1.4923756
ARR | 2205230030001082 | Is access to the delta table using ADLS credential passthrough with SQL endpoints supported?,7.3519273,1.1798027
databricks workspace does not return status of all the completed jobs using REST API,11.066013,4.2338634
All E2 environments are down.,9.560882,2.2792985
All envs down with following error,7.454933,2.537957
Unable to login to Databricks workspace. ,10.793539,4.4324284
Workspace Down,11.286773,5.174824
All Biogen Databricks workspaces are down,11.193848,4.2402267
Databricks Queries are Taking a long Time Stays Stuck at  'Uploading command' ,11.100327,1.9368947
SSO Broken in all workespaces,9.88499,5.448884
Workspaces are not reachable,11.235526,5.2544174
Authentication unavailable,9.27537,3.91324
SAML error while setting up,9.579222,4.421267
Recover databricks workspace,11.644426,4.770916
Recover databricks workspace,11.652163,4.7502594
 Recover databricks workspace,11.623091,4.773565
Increased AWS data transfer regional costs on clusters,9.604265,3.3690097
2205230040005172 | Job Failure,11.6292715,-1.9539676
passwordless SFTP connection,9.061883,3.0790467
NPIP tunnel setup failure in Spark job,10.195171,-0.6478726
Platform Issues Faced ,10.639112,3.751774
passwordless SFTP connection,9.082143,3.081853
958145594491036 - 10280a44-7716-4c2a-8238-1b1796d4fde3 - 2205190040004859,3.2204638,3.7892737
Intermittent issues while affecting multiple workspaces,11.398485,4.876286
Parsing RDD with read_csv behavior changed between 7.3LTS and 10.4LTS,8.455573,1.1408048
workspace_does_not_exist_error when launching Databricks Workspace,11.031741,4.4819865
Object sqldb is not a member of package com.microsoft.azure. the latest JAR with dependencies is installed but still have the error pop up.,9.083761,-0.17228237
"Runtime Error, cannot open the connection",8.799848,2.2283084
2205180050001916 - Missing Library after cluster start,13.395583,0.3821893
2205240040005594 | container,-0.6117357,2.3529568
Databricks Prod Issue Caused by SparkException,9.3265,0.046599805
2205130050001971 access to DBFS from SQL endpoint,7.5516324,0.061622255
ARR - GAP - 2205200010002443 - Diagnostics logs are not available,10.8134775,1.5390359
Unable to start clusters,14.608294,1.2523742
ARR - EY - 2205200040005272 - Databricks jobs failed,12.419114,2.797628
Notebooks/cluster Detach and Re-attcah issue,13.1742115,0.53132886
"Runtime Error, cannot open the connection",8.805386,2.2273636
Delta Live Tables Cluster Init Scripts?,6.492347,1.1846026
ARR | 2205200050000441 | Databricks Security and Compliance,10.307815,2.7213488
Issue while downloading and uploading a jar file,9.24948,-0.13550392
ARR |  | 2205130040004443,6.8352757,2.9110346
Problem reading XML files,8.960045,2.5131958
Join takes seemingly forever and eventually aborts,13.438381,0.7711295
MOVE dag is failing,11.398703,-1.4092993
Security vulnerabilities,10.278258,2.55999
Ganglia stops working,11.621131,1.0196146
2205230030001141 | ARR | Cluster Deleted,12.829925,0.913002
Airflow Connectivity problem with databricks.,11.4253025,3.0426364
Customer wants to know who deleted a folder,11.462952,4.3785133
 Notebook showing function does not exist,10.564327,-2.2554028
ARR | username not being identified | 2205200010000014,6.9082856,2.925921
Followup of SF ticket 00145109,18.737326,-4.9871626
Databricks job fails after running 150-180 hours,12.512421,3.0298073
2205100050002215 ,-1.3841631,2.6772008
CSS-ARR-2205240030000617-Databricks Spark Job - ExecutorLostFailure (executor 0 exited caused by one of the running tasks) Reason: Remote RPC client disassociated.,10.567027,0.18793194
2205200030001371,-1.4821533,2.535246
Notebook issues,10.504765,-2.267083
Failed to acquire MySQL lock job-5,10.599421,-0.38677108
Need your confirm that if we could check ,6.022183,3.3605788
Unable to submit Databricks Jar job and pass the spark parameters,9.792126,0.03962005
[ARR] [Sev B] SR-2205190010002627 RCA-performance issue for job executing,11.767448,-0.13387053
New user doesn't receive an invite email,10.307336,4.79727
2205090040004711,-0.94028383,2.556923
2205160030000400,-0.9893211,2.6093652
Conuming avro messages from kafka makes problem.,7.918125,2.3756564
need to be able to retrieve metadata statistics for all columns of the table,7.7067556,0.81821185
ARR | Blackrock-OneAladdin| Restapi using access token+management token not working for workspace enabled private endpoint| SR:2205190030000177  ,10.826131,4.093762
very slow metadata query show tables,7.9415812,0.33126217
Databricks Issue,12.060816,3.7419012
PowerBi Failing To Connect To Databricks Table and Fetch Data,10.487255,3.191344
is there any release on 20th or 21st May could impact the cypher in request socket,10.16833,1.9166517
Job failing because of column not found issue,7.7466083,0.764779
 Spark Structured Streaming Job Not Running,10.046094,-0.29654884
ARR | 2205230040005172 | Library installation issue,8.954798,-1.1917133
ARR- ATT- spark ignoreMissingFiles is not working with single node databricks clusters-2205120040001867  ,10.02012,0.4218757
Connection error during python library installation,9.237082,-0.68116015
Behaviour Difference in Photon,10.398607,0.5725056
Deploy Databricks failed when use a resource group which include GB character in name,10.174782,3.6200101
Reliable Cluster Configurations,14.095683,1.6359615
2205100040006478 Databricks issues without any logs in the job runs,12.182676,2.6957335
Job Failure,12.929005,-2.192802
ARR- ATT- Clusters with GPU won't start- 2205200040006767 ,12.931695,1.1663159
2205230010002783  Spark Task runs and does not rerturn results ,10.134868,-0.66840833
SQL endpoint failing to start,7.236393,-0.7175051
2205200030002012 | Python SDK,6.839202,2.897693
failed integrity checks,11.197518,-0.58517337
 2205230040006464  Problem passing a timestamp argument,8.526583,1.3543683
Same job sometimes runs for ever,12.427473,-1.3439851
ARR - ATT - Invalid fs.azure.account.key error - while trying to save data to ADLS container from Databricks- 2205180040008310 ,8.643278,3.7664132
Squid Proxy Implementation for Outbound Traffic,9.542521,3.0870683
ARR Customer Engie: Issue - Problems accessing Databricks Workspace,10.912026,4.3246803
vacuum not working,6.364876,1.88532
User access - Pentest security finding,10.122867,2.701947
ARR Customer Giliead Sciences: Issue - Module OS has no attribute PathLike,9.830327,1.8937198
